Search terms report
"April 1, 2026 - June 29, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Currency code,TrueView avg. CPV,Avg. CPM,Clicks,Impr.,CTR,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
kens muffler,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,6,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
on the side auto,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
transmission repair fort collins,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,936.67,1,6,16.67%,5.62,5.62,Performance Max,0.00%,0.00,0.00
kens auto repair near me,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,2,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
european automotive,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
gearz automotive,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,2,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
weston auto fort collins,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
mccormick automotive,Performance Max,Excluded,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,8,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
chan's foreign car,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
motor shops,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,4,0.00%,0,0.00,Search,0.00%,0.00,0.00
lexus fort collins co,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
full vehicle diagnostic near me,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
h&h automotive,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
engine rebuilding shops near me,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
catalytic converter replacement shops,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
differential fluid change service,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
scoots automotive,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
car electrical specialist,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
community automotive fort collins,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,3,0.00%,0,0.00,Search,0.00%,0.00,0.00
oil change subaru forester,Broad match,None,Search - Services [LID34788] [CID6645],Subaru Specialist,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
dodge ram transmission repair,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
2017 subaru outback headlight replacement,Broad match,None,Search - Services [LID34788] [CID6645],Subaru Specialist,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
car repair,Exact match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
land rover service department,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
mechanic with courtesy car,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
tynan nissan fort collins,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
eagle auto shop,Performance Max,Excluded,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
alpine automotive,Performance Max,Excluded,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
houskas,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
prolube near me,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
timing belt replacement,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
the motorway fort collins,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,6,0.00%,0,0.00,Search,0.00%,0.00,0.00
brake plus,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
repair shop near me,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
mason street auto,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,3,0.00%,0,0.00,Search,0.00%,0.00,0.00
valvoline instant oil change,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
honda near me,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
severance auto,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
car repair shop near me,Exact match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
auto shop fort collins,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
sage auto,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
meineke near me,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,2,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
expert 4x4,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
auto repair shops in fort collins co,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
csi transportation,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
weston auto,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,3,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
used cars for sale fort collins,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
2015 subaru crosstrek oil change,Broad match,None,Search - Services [LID34788] [CID6645],Subaru Specialist,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
car repair fort collins co,Exact match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
b and g auto fort collins,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,3,0.00%,0,0.00,Search,0.00%,0.00,0.00
carl duke volvo fort collins,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
drive belt replacement cost,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
tow trucks fort collins,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
