"Customer country","Customer region","Customer city","New customer records"
"US","US-VA","US-VA-VirginiaBeach",1
"US","US-OR","US-OR-WestLinn",1
"US","US-CA","US-CA-LaMesa",1
"US","US-PA","US-PA-Gibsonia",1
"US","US-CA","US-CA-Anza",1
"US","US-CA","US-CA-NewportBeach",1
"US","US-GA","US-GA-Jonesboro",1
"US","US-CA","US-CA-Seaside",1
"US","US-CA","US-CA-DelMar",1
"US","US-VA","US-VA-Occoquan",1
"US","US-FL","US-FL-Apopka",1
"US","US-NJ","US-NJ-Marlboro",1
"US","US-NC","US-NC-Aberdeen",1
"US","US-VA","US-VA-Alexandria",1
"US","US-FL","US-FL-PortRichey",1
"US","US-CA","US-CA-SantaFeSprings",1
"US","US-KY","US-KY-Barlow",1
"US","US-NY","US-NY-CambriaHeights",1
"US","US-PA","US-PA-Kunkletown",1
"US","US-WA","US-WA-Auburn",1
"US","US-CA","US-CA-PaloAlto",1
"US","US-MO","US-MO-Charleston",1
"US","US-FL","US-FL-Medley",1
"US","US-AL","US-AL-Enterprise",1
"US","US-CA","US-CA-LaCrescenta",1
"US","US-AR","US-AR-LittleRock",1
"US","US-MI","US-MI-Cassopolis",1
"US","US-CA","US-CA-SanMateo",1
"US","US-CA","US-CA-Visalia",1
"US","US-NJ","US-NJ-Paramus",1
"US","US-CA","US-CA-Fallbrook",1
"US","US-IL","US-IL-Glenview",1
"US","US-MD","US-MD-Gaithersburg",1
"US","US-AL","US-AL-Bremen",1
"US","US-FL","US-FL-Lakeland",1
"US","US-MD","US-MD-UpperMarlboro",1
"US","US-TX","US-TX-FairOaksRanch",1
"US","US-MI","US-MI-Dowagiac",1
"US","US-CA","US-CA-Fresno",1
"US","US-NJ","US-NJ-Mantua",1
"US","US-CA","US-CA-SantaMaria",1
"US","US-CA","US-CA-Castaic",1
"US","US-CA","US-CA-Highland",1
"US","US-MI","US-MI-Okemos",1
"US","US-FL","US-FL-Opalocka",1
"US","US-CA","US-CA-StudioCity",1
"US","US-CA","US-CA-Whittier",1
"US","US-VA","US-VA-Harrisonburg",1
"US","US-OH","US-OH-Strongsville",1
"US","US-CA","US-CA-Irvine",1
"US","US-TX","US-TX-Hockley",1
"US","US-AR","US-AR-Bentonville",1
"US","US-CT","US-CT-Stamford",1
"US","US-CA","US-CA-Sanger",1
"US","US-CA","US-CA-Downey",1
"US","US-CO","US-CO-GreenMountainFalls",1
"US","US-NY","US-NY-DixHills",1
"US","US-NY","US-NY-Johnstown",1
"US","US-CA","US-CA-Malibu",1
"US","US-CA","US-CA-Martinez",1
"US","US-CA","US-CA-LaPalma",1
"US","US-AL","US-AL-Cullman",1
"US","US-VA","US-VA-Manassas",1
"US","US-NJ","US-NJ-PortMurray",1
"US","US-VA","US-VA-Woodbridge",1
"US",,"ZZ",1
"US","US-NC","US-NC-Charlotte",1
"US","US-CT","US-CT-Burlington",1
"US","US-IN","US-IN-Indianapolis",1
"US","US-CA","US-CA-Tustin",1
"US","US-GA","US-GA-Buford",1
"US","US-NY","US-NY-Jamaica",1
"US","US-TX","US-TX-Abilene",1
"US","US-TX","US-TX-Temple",1
"US","US-CA","US-CA-WestlakeVillage",1
"US","US-NJ","US-NJ-Passaic",1
"US","US-MD","US-MD-EllicottCity",1
"US","US-MI","US-MI-Milford",1
"US","US-IN","US-IN-Mishawaka",1
"US","US-CA","US-CA-ChulaVista",1
"US","US-PA","US-PA-York",1
"US","US-CA","US-CA-CanogaPark",1
"US","US-NJ","US-NJ-Trenton",1
"US","US-VA","US-VA-Bristow",1
"US","US-MD","US-MD-Germantown",1
"US","US-NY","US-NY-SparrowBush",1
